"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Label","Code","ave_house_transfers","ave_registered_vehicles","ratio_less_five_years_car_age","ave_total_jobs","category","occupation"
"11","Abbotsford","18/659 Victoria St",3,"u",NA,"VB","Rounds","4/02/2016",2.5,3067,3,2,1,0,NA,NA,"Yarra City Council",-37.8114,145.0116,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"12","Abbotsford","18/659 Victoria St",3,"u",NA,"VB","Rounds","4/02/2016",2.5,3067,3,2,1,0,NA,NA,"Yarra City Council",-37.8114,145.0116,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"13","Abbotsford","5 Charles St",3,"h",1465000,"SP","Biggin","4/03/2017",2.5,3067,3,2,0,134,150,1900,"Yarra City Council",-37.8093,144.9944,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"14","Abbotsford","5 Charles St",3,"h",1465000,"SP","Biggin","4/03/2017",2.5,3067,3,2,0,134,150,1900,"Yarra City Council",-37.8093,144.9944,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"15","Abbotsford","5 Charles St",3,"h",1465000,"SP","Biggin","4/03/2017",2.5,3067,3,2,0,134,150,1900,"Yarra City Council",-37.8093,144.9944,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"16","Abbotsford","40 Federation La",3,"h",850000,"PI","Biggin","4/03/2017",2.5,3067,3,2,1,94,NA,NA,"Yarra City Council",-37.7969,144.9969,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"17","Abbotsford","40 Federation La",3,"h",850000,"PI","Biggin","4/03/2017",2.5,3067,3,2,1,94,NA,NA,"Yarra City Council",-37.7969,144.9969,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"18","Abbotsford","40 Federation La",3,"h",850000,"PI","Biggin","4/03/2017",2.5,3067,3,2,1,94,NA,NA,"Yarra City Council",-37.7969,144.9969,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"19","Abbotsford","55a Park St",4,"h",1600000,"VB","Nelson","4/06/2016",2.5,3067,3,1,2,120,142,2014,"Yarra City Council",-37.8072,144.9941,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"20","Abbotsford","55a Park St",4,"h",1600000,"VB","Nelson","4/06/2016",2.5,3067,3,1,2,120,142,2014,"Yarra City Council",-37.8072,144.9941,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"21","Abbotsford","55a Park St",4,"h",1600000,"VB","Nelson","4/06/2016",2.5,3067,3,1,2,120,142,2014,"Yarra City Council",-37.8072,144.9941,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"22","Abbotsford","16 Maugie St",4,"h",NA,"SN","Nelson","6/08/2016",2.5,3067,3,2,2,400,220,2006,"Yarra City Council",-37.7965,144.9965,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"23","Abbotsford","16 Maugie St",4,"h",NA,"SN","Nelson","6/08/2016",2.5,3067,3,2,2,400,220,2006,"Yarra City Council",-37.7965,144.9965,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"24","Abbotsford","16 Maugie St",4,"h",NA,"SN","Nelson","6/08/2016",2.5,3067,3,2,2,400,220,2006,"Yarra City Council",-37.7965,144.9965,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"25","Abbotsford","53 Turner St",2,"h",NA,"S","Biggin","6/08/2016",2.5,3067,4,1,2,201,NA,1900,"Yarra City Council",-37.7995,144.9974,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"26","Abbotsford","53 Turner St",2,"h",NA,"S","Biggin","6/08/2016",2.5,3067,4,1,2,201,NA,1900,"Yarra City Council",-37.7995,144.9974,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"27","Abbotsford","53 Turner St",2,"h",NA,"S","Biggin","6/08/2016",2.5,3067,4,1,2,201,NA,1900,"Yarra City Council",-37.7995,144.9974,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"28","Abbotsford","99 Turner St",2,"h",NA,"S","Collins","6/08/2016",2.5,3067,3,2,1,202,NA,1900,"Yarra City Council",-37.7996,144.9989,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"29","Abbotsford","99 Turner St",2,"h",NA,"S","Collins","6/08/2016",2.5,3067,3,2,1,202,NA,1900,"Yarra City Council",-37.7996,144.9989,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"30","Abbotsford","99 Turner St",2,"h",NA,"S","Collins","6/08/2016",2.5,3067,3,2,1,202,NA,1900,"Yarra City Council",-37.7996,144.9989,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"31","Abbotsford","129 Charles St",2,"h",941000,"S","Jellis","7/05/2016",2.5,3067,2,1,0,181,NA,NA,"Yarra City Council",-37.8041,144.9953,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"32","Abbotsford","129 Charles St",2,"h",941000,"S","Jellis","7/05/2016",2.5,3067,2,1,0,181,NA,NA,"Yarra City Council",-37.8041,144.9953,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"33","Abbotsford","129 Charles St",2,"h",941000,"S","Jellis","7/05/2016",2.5,3067,2,1,0,181,NA,NA,"Yarra City Council",-37.8041,144.9953,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"34","Abbotsford","124 Yarra St",3,"h",1876000,"S","Nelson","7/05/2016",2.5,3067,4,2,0,245,210,1910,"Yarra City Council",-37.8024,144.9993,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"35","Abbotsford","124 Yarra St",3,"h",1876000,"S","Nelson","7/05/2016",2.5,3067,4,2,0,245,210,1910,"Yarra City Council",-37.8024,144.9993,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"36","Abbotsford","124 Yarra St",3,"h",1876000,"S","Nelson","7/05/2016",2.5,3067,4,2,0,245,210,1910,"Yarra City Council",-37.8024,144.9993,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"37","Abbotsford","121/56 Nicholson St",2,"u",NA,"PI","Biggin","7/11/2016",2.5,3067,2,2,1,4292,82,2009,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"38","Abbotsford","121/56 Nicholson St",2,"u",NA,"PI","Biggin","7/11/2016",2.5,3067,2,2,1,4292,82,2009,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"39","Abbotsford","121/56 Nicholson St",2,"u",NA,"PI","Biggin","7/11/2016",2.5,3067,2,2,1,4292,82,2009,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"40","Abbotsford","17 Raphael St",4,"h",NA,"W","Biggin","7/11/2016",2.5,3067,6,2,0,230,147,1860,"Yarra City Council",-37.8066,144.9936,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"41","Abbotsford","17 Raphael St",4,"h",NA,"W","Biggin","7/11/2016",2.5,3067,6,2,0,230,147,1860,"Yarra City Council",-37.8066,144.9936,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"42","Abbotsford","17 Raphael St",4,"h",NA,"W","Biggin","7/11/2016",2.5,3067,6,2,0,230,147,1860,"Yarra City Council",-37.8066,144.9936,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"43","Abbotsford","98 Charles St",2,"h",1636000,"S","Nelson","8/10/2016",2.5,3067,2,1,2,256,107,1890,"Yarra City Council",-37.806,144.9954,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"44","Abbotsford","98 Charles St",2,"h",1636000,"S","Nelson","8/10/2016",2.5,3067,2,1,2,256,107,1890,"Yarra City Council",-37.806,144.9954,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"45","Abbotsford","98 Charles St",2,"h",1636000,"S","Nelson","8/10/2016",2.5,3067,2,1,2,256,107,1890,"Yarra City Council",-37.806,144.9954,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"46","Abbotsford","217 Langridge St",3,"h",1e+06,"S","Jellis","8/10/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"47","Abbotsford","217 Langridge St",3,"h",1e+06,"S","Jellis","8/10/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"48","Abbotsford","217 Langridge St",3,"h",1e+06,"S","Jellis","8/10/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"49","Abbotsford","18a Mollison St",2,"t",745000,"S","Jellis","8/10/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"50","Abbotsford","18a Mollison St",2,"t",745000,"S","Jellis","8/10/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"51","Abbotsford","18a Mollison St",2,"t",745000,"S","Jellis","8/10/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"52","Abbotsford","6/241 Nicholson St",1,"u",3e+05,"S","Biggin","8/10/2016",2.5,3067,1,1,1,0,NA,NA,"Yarra City Council",-37.8008,144.9973,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"53","Abbotsford","6/241 Nicholson St",1,"u",3e+05,"S","Biggin","8/10/2016",2.5,3067,1,1,1,0,NA,NA,"Yarra City Council",-37.8008,144.9973,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"54","Abbotsford","6/241 Nicholson St",1,"u",3e+05,"S","Biggin","8/10/2016",2.5,3067,1,1,1,0,NA,NA,"Yarra City Council",-37.8008,144.9973,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"55","Abbotsford","10 Valiant St",2,"h",1097000,"S","Biggin","8/10/2016",2.5,3067,3,1,2,220,75,1900,"Yarra City Council",-37.801,144.9989,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"56","Abbotsford","10 Valiant St",2,"h",1097000,"S","Biggin","8/10/2016",2.5,3067,3,1,2,220,75,1900,"Yarra City Council",-37.801,144.9989,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"57","Abbotsford","10 Valiant St",2,"h",1097000,"S","Biggin","8/10/2016",2.5,3067,3,1,2,220,75,1900,"Yarra City Council",-37.801,144.9989,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"58","Abbotsford","403/609 Victoria St",2,"u",542000,"S","Dingle","8/10/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"59","Abbotsford","403/609 Victoria St",2,"u",542000,"S","Dingle","8/10/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"60","Abbotsford","403/609 Victoria St",2,"u",542000,"S","Dingle","8/10/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"61","Abbotsford","2 Rich St",2,"h",NA,"SP","Biggin","10/12/2016",2.5,3067,2,1,1,176,80,1925,"Yarra City Council",-37.7998,144.9972,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"62","Abbotsford","2 Rich St",2,"h",NA,"SP","Biggin","10/12/2016",2.5,3067,2,1,1,176,80,1925,"Yarra City Council",-37.7998,144.9972,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"63","Abbotsford","2 Rich St",2,"h",NA,"SP","Biggin","10/12/2016",2.5,3067,2,1,1,176,80,1925,"Yarra City Council",-37.7998,144.9972,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"64","Abbotsford","25/84 Trenerry Cr",2,"u",760000,"SP","Biggin","10/12/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"65","Abbotsford","25/84 Trenerry Cr",2,"u",760000,"SP","Biggin","10/12/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"66","Abbotsford","25/84 Trenerry Cr",2,"u",760000,"SP","Biggin","10/12/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"67","Abbotsford","106/119 Turner St",1,"u",481000,"SP","Purplebricks","10/12/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"68","Abbotsford","106/119 Turner St",1,"u",481000,"SP","Purplebricks","10/12/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"69","Abbotsford","106/119 Turner St",1,"u",481000,"SP","Purplebricks","10/12/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"70","Abbotsford","411/8 Grosvenor St",2,"u",7e+05,"VB","Jellis","12/11/2016",2.5,3067,2,2,1,0,NA,NA,"Yarra City Council",-37.811,145.0067,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"71","Abbotsford","411/8 Grosvenor St",2,"u",7e+05,"VB","Jellis","12/11/2016",2.5,3067,2,2,1,0,NA,NA,"Yarra City Council",-37.811,145.0067,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"72","Abbotsford","411/8 Grosvenor St",2,"u",7e+05,"VB","Jellis","12/11/2016",2.5,3067,2,2,1,0,NA,NA,"Yarra City Council",-37.811,145.0067,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"73","Abbotsford","40 Nicholson St",3,"h",1350000,"VB","Nelson","12/11/2016",2.5,3067,3,2,2,214,190,2005,"Yarra City Council",-37.8085,144.9964,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"74","Abbotsford","40 Nicholson St",3,"h",1350000,"VB","Nelson","12/11/2016",2.5,3067,3,2,2,214,190,2005,"Yarra City Council",-37.8085,144.9964,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"75","Abbotsford","40 Nicholson St",3,"h",1350000,"VB","Nelson","12/11/2016",2.5,3067,3,2,2,214,190,2005,"Yarra City Council",-37.8085,144.9964,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"76","Abbotsford","123/56 Nicholson St",2,"u",750000,"S","Biggin","12/11/2016",2.5,3067,2,2,1,0,94,2009,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"77","Abbotsford","123/56 Nicholson St",2,"u",750000,"S","Biggin","12/11/2016",2.5,3067,2,2,1,0,94,2009,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"78","Abbotsford","123/56 Nicholson St",2,"u",750000,"S","Biggin","12/11/2016",2.5,3067,2,2,1,0,94,2009,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"79","Abbotsford","22 Park St",4,"h",1985000,"S","Biggin","12/11/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",-37.8084,144.9942,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"80","Abbotsford","22 Park St",4,"h",1985000,"S","Biggin","12/11/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",-37.8084,144.9942,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"81","Abbotsford","22 Park St",4,"h",1985000,"S","Biggin","12/11/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",-37.8084,144.9942,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"82","Abbotsford","13/84 Trenerry Cr",1,"u",5e+05,"S","Biggin","12/11/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"83","Abbotsford","13/84 Trenerry Cr",1,"u",5e+05,"S","Biggin","12/11/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"84","Abbotsford","13/84 Trenerry Cr",1,"u",5e+05,"S","Biggin","12/11/2016",2.5,3067,NA,NA,NA,NA,NA,NA,"Yarra City Council",NA,NA,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"85","Abbotsford","45 William St",2,"h",1172500,"S","Biggin","13/08/2016",2.5,3067,2,1,1,195,NA,NA,"Yarra City Council",-37.8084,144.9973,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"86","Abbotsford","45 William St",2,"h",1172500,"S","Biggin","13/08/2016",2.5,3067,2,1,1,195,NA,NA,"Yarra City Council",-37.8084,144.9973,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"87","Abbotsford","45 William St",2,"h",1172500,"S","Biggin","13/08/2016",2.5,3067,2,1,1,195,NA,NA,"Yarra City Council",-37.8084,144.9973,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"88","Abbotsford","7/20 Abbotsford St",1,"u",441000,"SP","Greg","14/05/2016",2.5,3067,1,1,1,0,NA,NA,"Yarra City Council",-37.8016,144.9988,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"89","Abbotsford","7/20 Abbotsford St",1,"u",441000,"SP","Greg","14/05/2016",2.5,3067,1,1,1,0,NA,NA,"Yarra City Council",-37.8016,144.9988,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"90","Abbotsford","7/20 Abbotsford St",1,"u",441000,"SP","Greg","14/05/2016",2.5,3067,1,1,1,0,NA,NA,"Yarra City Council",-37.8016,144.9988,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
